Sensor Position: [0, 1,57, 50]

--- Ray 0 ---
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
1,65, 0,62, 53,52, 95,4, 4,424693
1,65, 0,62, 53,52, 96,3, 3,794623
1,65, 0,62, 53,52, 97,19999, 3,322345
1,65, 0,62, 53,52, 98,09999, 2,955264
1,65, 0,62, 53,52, 98,99999, 2,661819
1,65, 0,62, 53,52, 99,89999, 2,421931
1,65, 0,62, 53,52, 169,2, 2,327629
1,65, 0,62, 53,52, 168,3, 2,334913
1,65, 0,62, 53,52, 167,4, 2,342823
1,65, 0,62, 53,52, 166,5, 2,351369
1,65, 0,62, 53,52, 165,6, 2,360562
1,65, 0,62, 53,52, 164,7, 2,370414
1,65, 0,62, 53,52, 163,8, 2,380938
1,65, 0,62, 53,52, 162,9, 2,39215
1,65, 0,62, 53,52, 162, 2,404063
1,65, 0,62, 53,52, 161,1, 2,416695
1,65, 0,62, 53,52, 160,2, 2,430063
1,65, 0,62, 53,52, 159,3, 2,444187
1,65, 0,62, 53,52, 158,4, 2,459086
1,65, 0,62, 53,52, 157,5, 2,474782
1,65, 0,62, 53,52, 156,6, 2,491298
1,65, 0,62, 53,52, 155,7, 2,508659
1,65, 0,62, 53,52, 154,8, 2,526891
1,65, 0,62, 53,52, 153,9, 2,546024
1,65, 0,62, 53,52, 153, 2,566087
1,65, 0,62, 53,52, 152,1, 2,587111
1,65, 0,62, 53,52, 151,2, 2,609132
1,65, 0,62, 53,52, 150,3, 2,632186
1,65, 0,62, 53,52, 149,4, 2,656312
1,65, 0,62, 53,52, 148,5, 2,681553
1,65, 0,62, 53,52, 147,6, 2,707952
1,65, 0,62, 53,52, 146,7, 2,735558
1,65, 0,62, 53,52, 145,8, 2,764422
1,65, 0,62, 53,52, 144,9, 2,794598
1,65, 0,62, 53,52, 144, 2,826145
1,65, 0,62, 53,52, 143,1, 2,859127
1,65, 0,62, 53,52, 142,2, 2,893609
1,65, 0,62, 53,52, 141,3, 2,929665
1,65, 0,62, 53,52, 140,4, 2,967372
1,65, 0,62, 53,52, 139,5, 3,006814
1,65, 0,62, 53,52, 138,6, 3,048081
1,65, 0,62, 53,52, 137,7, 3,09127
1,65, 0,62, 53,52, 136,8, 3,136485
1,65, 0,62, 53,52, 135,9, 3,18384
1,65, 0,62, 53,52, 135, 3,233457
1,65, 0,62, 53,52, 134,1, 3,285468
1,65, 0,62, 53,52, 133,2, 3,340017
1,65, 0,62, 53,52, 132,3, 3,39726
1,65, 0,62, 53,52, 131,4, 3,457368
